fclass,year,quarter,quarter_num,NDVI,BSI,ndvi_qoq_change,bsi_qoq_change
trunk,2022,Q3,3,0.27502364075721863,0.030841304974295228,0.05486443619681161,-0.05819967224755686
trunk,2022,Q4,4,0.21596570088675474,0.11424473052035923,-0.0590579398704639,0.083403425546064
trunk,2023,Q1,1,0.17114924758337707,0.13589898880213352,-0.04481645330337766,0.021654258281774294
trunk,2023,Q2,2,0.21011621131431285,0.08946975093026895,0.03896696373093578,-0.04642923787186458
trunk,2023,Q3,3,0.29440920398520315,0.030931532921221486,0.0842929926708903,-0.05853821800904746
trunk,2023,Q4,4,0.21402704461302247,0.11738866247365945,-0.08038215937218068,0.08645712955243796
unclassified,2017,Q1,1,0.2510592223090829,0.20306422416400466,,
unclassified,2017,Q4,4,0.33729757759037665,0.13946795022647698,0.08623835528129375,-0.06359627393752768
unclassified,2018,Q1,1,0.2944327784319139,0.1631466560341299,-0.04286479915846275,0.02367870580765291
unclassified,2018,Q2,2,0.4240124104220118,0.0701132377902863,0.12957963199009792,-0.09303341824384359
unclassified,2018,Q4,4,0.3275246919361191,0.07893702092904052,-0.09648771848589272,0.008823783138754218
unclassified,2019,Q1,1,0.30671149106284745,0.12727857906192674,-0.020813200873271653,0.04834155813288622
unclassified,2019,Q2,2,0.36892659660924343,0.06157257947552705,0.06221510554639598,-0.0657059995863997
unclassified,2019,Q3,3,0.3713896446159787,-0.0210718291640393,0.0024630480067352467,-0.08264440863956635
unclassified,2019,Q4,4,0.4254709894356733,0.05266535524408324,0.05408134481969462,0.07373718440812253
unclassified,2020,Q1,1,0.2898592390255716,0.12238909321961801,-0.1356117504101017,0.06972373797553477
unclassified,2020,Q2,2,0.3907597557284058,0.04589214783538813,0.10090051670283423,-0.07649694538422988
unclassified,2020,Q3,3,0.4272068715434021,0.0020780675506949105,0.03644711581499627,-0.04381408028469322
unclassified,2020,Q4,4,0.3853477823333101,0.06264656698253022,-0.041859089210092015,0.060568499431835315
unclassified,2021,Q1,1,0.2820972981719819,0.11032750405053371,-0.10325048416132815,0.047680937068003484
unclassified,2021,Q2,2,0.34383448686590107,0.08076169770062748,0.06173718869391914,-0.02956580634990623
unclassified,2021,Q3,3,0.4455316535851417,-0.03760289745253387,0.10169716671924062,-0.11836459515316135
unclassified,2021,Q4,4,0.4162155658599761,0.0524073821578612,-0.029316087725165585,0.09001027961039507
unclassified,2022,Q1,1,0.30117649830260673,0.14105152396193255,-0.11503906755736937,0.08864414180407135
unclassified,2022,Q2,2,0.41057430732552663,0.043364295317040336,0.1093978090229199,-0.09768722864489221
unclassified,2022,Q3,3,0.4376201204096729,-0.013075899483432189,0.027045813084146275,-0.05644019480047252
unclassified,2022,Q4,4,0.42422966240786075,0.0602778887629202,-0.013390458001812156,0.07335378824635239
unclassified,2023,Q1,1,0.31727078720593727,0.12182124176289781,-0.10695887520192349,0.06154335299997761
unclassified,2023,Q2,2,0.4087352803408155,0.04088914186167691,0.09146449313487826,-0.08093209990122091
unclassified,2023,Q3,3,0.44816440379787664,0.0051051073830603935,0.03942912345706112,-0.035784034478616514
unclassified,2023,Q4,4,0.42728057504771333,0.06275437558288444,-0.020883828750163314,0.05764926819982404
